   58.183701      -11.000000       41.740002    
   46.897999      -10.000000       32.619999    
   39.204102      -9.0000000       31.900000    
   43.550999      -8.0000000       57.000000    
   64.693901      -7.0000000       144.75999    
   142.40820      -6.0000000       435.72000    
   237.77550      -5.0000000       691.78003    
   349.08160      -4.0000000       677.00000    
   358.00000      -3.0000000       486.85999    
   388.36731      -2.0000000       447.17999    
   395.42859      -1.0000000       411.57999    
   403.06119       0.0000000       380.66000    
   420.93881       1.0000000       402.85999    
   452.20410       2.0000000       413.66000    
   507.51019       3.0000000       428.29999    
   638.73468       4.0000000       451.06000    
   775.95923       5.0000000       454.88000    
   746.10199       6.0000000       425.82001    
   497.95920       7.0000000       308.78000    
   300.18369       8.0000000       202.88000    
   234.16330       9.0000000       174.50000    
   194.57140       10.000000       141.17999    
   125.10200       11.000000       98.680000    
   81.367302       12.000000       60.480000    
