0                    17033
1                    5483
2                    2032
3                    1069
4                    618
5                    411
6                    269
7                    237
8                    177
9                    136
10                    104
11                    83
12                    68
13                    55
14                    61
15                    46
16                    51
17                    46
18                    35
19                    39
20                    33
21                    30
22                    23
23                    25
24                    17
25                    20
26                    16
27                    17
28                    11
29                    14
30                    8
31                    11
32                    12
33                    10
34                    13
35                    13
36                    9
37                    13
38                    9
39                    4
40                    9
41                    4
42                    9
43                    10
44                    3
45                    7
46                    4
47                    7
48                    14
49                    5
50                    2
51                    3
52                    4
53                    1
54                    7
55                    4
56                    3
57                    7
58                    5
59                    6
60                    3
61                    5
62                    3
63                    3
64                    1
65                    3
66                    1
67                    2
68                    5
69                    4
70                    5
71                    2
72                    3
73                    4
74                    2
75                    1
76                    2
77                    3
78                    1
79                    5
80                    2
81                    5
82                    2
84                    1
85                    1
86                    2
87                    2
88                    2
89                    2
91                    1
93                    2
94                    1
95                    1
96                    2
97                    2
98                    1
100                    1
101                    2
102                    2
103                    3
105                    1
106                    2
107                    2
110                    2
111                    1
117                    1
118                    3
120                    1
122                    2
123                    1
124                    1
125                    1
129                    2
130                    1
131                    1
132                    1
133                    1
138                    1
141                    1
143                    1
144                    1
146                    3
147                    3
149                    1
150                    1
155                    1
159                    1
160                    1
161                    2
162                    1
164                    2
165                    1
167                    2
168                    1
171                    1
174                    1
176                    1
179                    2
180                    1
182                    2
185                    1
187                    1
189                    2
190                    2
193                    1
195                    1
197                    1
206                    2
207                    1
214                    1
217                    2
226                    1
228                    1
230                    1
237                    1
238                    1
243                    1
253                    2
259                    1
262                    1
265                    1
270                    1
272                    1
274                    1
275                    1
283                    1
308                    1
333                    1
337                    1
365                    1
370                    1
382                    1
394                    1
398                    2
402                    1
420                    1
465                    1
474                    2
478                    1
486                    1
561                    2
562                    1
624                    1
630                    1
698                    1
805                    1
814                    1
826                    1
931                    1
1221                    1
1270                    1
1282                    1
1337                    1
1375                    1
1390                    1
1579                    1
1814                    1
1854                    1
2408                    1
2611                    1
2932                    1
3304                    1
3446                    1
12470                    1
